Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,90,172.5934066,204680582.3,2.237024201,8.311076644
CAPE,91,170.7173913,704110832.5,2.232277766,8.847641026
CAPE,92,168.8817204,518657780.2,2.227582645,8.714880897
CAPE,93,167.0851064,248567559.7,2.22293774,8.395444449
CAPE,94,165.3263158,581958109.4,2.218341988,8.764891724
CAPE,95,163.6041667,1249503696,2.21379436,9.096737545
CAPE,96,161.9175258,208663215.1,2.209293859,8.319445895
CAPE,97,160.2653061,836819276.6,2.204839517,8.922631676
CAPE,98,158.6464646,936037028.8,2.200430399,8.971293029
CAPE,99,157.06,329768362.2,2.196065593,8.518208987
CAPE,100,155.5049505,191555964.5,2.191744219,8.282295679
CAPE,101,153.9803922,43375959.41,2.187465421,7.637249094
CAPE,102,152.4854369,145351351.4,2.183228368,8.162419074
CAPE,103,151.0192308,43016947.46,2.179032254,7.633639589
CAPE,104,149.5809524,349184039.8,2.174876294,8.543054385
CAPE,105,148.1698113,300389780.3,2.170759728,8.477685153
CAPE,106,146.7850467,143817299.9,2.166681815,8.157811131
CAPE,107,145.4259259,238841831.1,2.162641838,8.378110392
CAPE,108,144.0917431,317540020,2.158639095,8.501798468
CAPE,109,142.7818182,118825728.2,2.154672908,8.074910484
CAPE,110,141.4954955,163500433.3,2.150742614,8.213518908
CAPE,111,140.2321429,109677206.5,2.14684757,8.04011638
CAPE,112,138.9911504,313124112.1,2.14298715,8.495716512
CAPE,113,137.7719298,651864594.7,2.139160742,8.814157393
CAPE,114,136.573913,575451012.6,2.135367753,8.760008359
CAPE,115,135.3965517,187105854.8,2.131607604,8.272087377
CAPE,116,134.2393162,8440698.335,2.127879731,6.926378379
CAPE,117,133.1016949,83080157.75,2.124183586,7.919497312
CAPE,118,131.9831933,15326596.2,2.120518632,7.185445716
CAPE,119,130.8833333,8677544.727,2.116884347,6.938396861
CAPE,120,129.8016529,101811496.7,2.113280223,8.007796822
CAPE,121,128.7377049,380085382,2.109705762,8.579881167
CAPE,122,127.6910569,498295570.6,2.106160482,8.697487027
CAPE,123,126.6612903,20621324.81,2.102643908,7.314316563
CAPE,124,125.648,436850241.3,2.09915558,8.64033258
CAPE,125,124.6507937,559791408,2.095695048,8.748026228
CAPE,126,123.6692913,99427852.97,2.092261872,7.997508061
CAPE,127,122.703125,605349127.3,2.088855623,8.782005921
CAPE,128,121.751938,666823549.5,2.085475883,8.824010929
CAPE,129,120.8153846,203242045.8,2.082122241,8.308013558
